artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;bpm;danceability__;valence__;energy__;acousticness__;instrumentalness__;liveness__;speechiness__;in_apple_playlists;in_apple_charts;in_deezer_playlists;in_deezer_charts;in_shazam_charts;released_date;track_id_limpo;mode_maiusculo;track_name_limpo;artist_name_limpo;total_playlists;media_total_charts;streams_corrigido;n_musicas;quartil_streams;quartil_bpm;quartil_danceability;quartil_valence;quartil_energy;quartil_acousticness;quartil_instrumentalness;quartil_liveness;quartil_speechiness;segmentacao_streams;segmentacao_bpm;segmentacao_danceability;segmentacao_valence;segmentacao_energy;segmentacao_acousticness;segmentacao_instrumentalness;segmentacao_liveness;segmentacao_speechiness
1;2022;1;7;2800;0;143;53;50;79;0;0;8;3;18;77;61;0;1;07/01/2022;5426643;MAJOR;LESS THAN ZERO;THE WEEKND;2879;19,5;200660871;19;2;4;1;2;4;1;1;1;1;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Baixo
1;2013;1;1;50887;34;124;53;66;78;0;0;16;5;315;160;6284;1;46;01/01/2013;7405938;MAJOR;WAKE ME UP  RADIO EDIT;AVICII;57486;60,25;1970673297;2;4;3;1;3;4;1;1;3;2;Alto;Alto;Baixo;Alto;Alto;Baixo;Baixo;Alto;Baixo
1;2014;1;1;17354;8;126;53;66;85;2;0;24;4;92;122;1282;0;55;01/01/2014;7456153;MAJOR;THE NIGHTS;AVICII;18728;46,25;1456081449;2;4;3;1;3;4;1;4;4;2;Alto;Alto;Baixo;Alto;Alto;Baixo;Alto;Alto;Baixo
1;2023;3;3;203;0;148;53;61;81;5;0;36;4;5;9;0;0;0;03/03/2023;3746522;MAJOR;BORN WITH A BEER IN MY HAND;MORGAN WALLEN;208;2,25;34450974;11;1;4;1;3;4;1;1;4;1;Baixo;Alto;Baixo;Alto;Alto;Baixo;Baixo;Alto;Baixo
1;1992;9;21;36724;7;92;53;12;34;1;0;12;4;146;72;6807;5;80;21/09/1992;6316146;MAJOR;CREEP;RADIOHEAD;43677;41;1271293243;1;4;1;1;1;1;1;1;2;1;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo
2;2022;6;17;5871;27;163;54;40;67;0;0;9;17;81;121;58;1;34;17/06/2022;3007244;MAJOR;JIMMY COOKS FEAT 21 SAVAGE;DRAKE 21 SAVAGE;6010;45,75;618885532;8;4;4;1;2;3;1;3;1;4;Alto;Alto;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Alto
1;1986;3;3;6080;0;105;54;59;83;0;44;20;4;112;198;406;1;0;03/03/1986;1024668;MINOR;MASTER OF PUPPETS REMASTERED;METALLICA;6598;49,75;704171068;1;4;2;1;3;4;1;4;3;1;Alto;Baixo;Baixo;Alto;Alto;Baixo;Alto;Alto;Baixo
1;2022;3;23;1301;0;154;54;45;79;1;0;17;5;23;1;15;0;0;23/03/2022;6642483;MAJOR;10 THINGS I HATE ABOUT YOU;LEAH KATE;1339;0,25;185550869;1;2;4;1;2;4;1;1;3;2;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
1;2022;10;28;481;9;125;54;22;76;0;0;14;3;10;100;15;1;27;28/10/2022;4343383;MAJOR;THE ASTRONAUT;JIN;506;34,25;203436468;1;2;3;1;1;3;1;3;3;1;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Alto;Alto;Baixo
1;2000;10;24;25065;6;105;55;40;90;1;0;32;6;63;0;6808;2;0;24/10/2000;4552573;MINOR;IN THE END;LINKIN PARK;31936;2;1624165576;2;4;2;1;2;4;1;2;4;2;Alto;Baixo;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
